model,types,filter,count,min,max,mean,std,bin_count,shannon_entropy,desequilibrium,complexity
meta-llama/Llama-3.1-70B,other,4 sigma,68413353625,-0.06103515625,0.06103515625,-2.2246365375797743e-05,0.012524776969803808,15261,7.181568622589111,0.0008215432171709836,0.0058999689905360475
meta-llama/Llama-3.1-8B,bias-embedding-other,0 sigma,7504658432,-0.921875,0.9140625,-3.003620733992231e-06,0.01356501278630898,107467,7.099058628082275,0.0009048842475749552,0.006423826325162724
meta-llama/Llama-3.1-8B,bias-embedding-other,1 sigma,5370042219,-0.0135498046875,0.0135498046875,-3.082431591205673e-07,0.007148062602637763,2063,6.801464080810547,0.0007401226321235299,0.005033917497783147
meta-llama/Llama-3.1-8B,bias-embedding-other,2 sigma,7155688199,-0.027099609375,0.027099609375,-1.417799304545633e-06,0.011327415372368673,3279,6.991939544677734,0.0006810808554291725,0.00476207616619817
meta-llama/Llama-3.1-8B,bias-embedding-other,3 sigma,7445089790,-0.04052734375,0.04052734375,-2.3887265842631007e-06,0.012772327247168966,4767,7.068188667297363,0.0007175068603828549,0.005071473859266207
meta-llama/Llama-3.1-8B,bias-embedding-other,4 sigma,7489586538,-0.05419921875,0.05419921875,-2.815882648210584e-06,0.013215311038835479,6365,7.088678359985352,0.0007604467682540417,0.005390562550043221
meta-llama/Llama-3.1-8B,bias-embedding,0 sigma,525336576,-0.1025390625,0.248046875,2.281976391574342e-05,0.01061517469470921,10098,6.771634101867676,0.0011288896203041077,0.007644427450095748
meta-llama/Llama-3.1-8B,bias-embedding,1 sigma,361647993,-0.01055908203125,0.0106201171875,2.737741532188594e-05,0.005675472569463818,819,6.448179244995117,0.000410466396715492,0.0026467609000687675
meta-llama/Llama-3.1-8B,bias-embedding,2 sigma,500534821,-0.0211181640625,0.021240234375,3.0051761623593417e-05,0.009240881757347958,1264,6.67343282699585,0.000512558501213789,0.0034205247277558914
meta-llama/Llama-3.1-8B,bias-embedding,3 sigma,523518780,-0.03173828125,0.03173828125,2.1308922468359206e-05,0.010426387001652994,1835,6.759321212768555,0.0006884122267365456,0.004653199367309568
meta-llama/Llama-3.1-8B,bias-embedding,4 sigma,525263534,-0.042236328125,0.04248046875,2.276263263189902e-05,0.010602152575892336,2440,6.770601749420166,0.0008184626931324601,0.005541484941957775
meta-llama/Llama-3.1-8B,bias-norm-embedding-other,0 sigma,7504924672,-0.921875,2.953125,1.1987386945731621e-05,0.013890413004279215,225183,7.0975494384765625,0.0009108335361815989,0.006464686053271329
meta-llama/Llama-3.1-8B,bias-norm-embedding-other,1 sigma,5445191816,-0.01385498046875,0.01385498046875,-3.113837857766021e-07,0.007279573931902437,2108,6.811476707458496,0.0007364583434537053,0.005016368852448383
meta-llama/Llama-3.1-8B,bias-norm-embedding-other,2 sigma,7184065229,-0.0277099609375,0.0277099609375,-1.4877991362272918e-06,0.011436002463408958,3357,7.000572204589844,0.0006809934857301414,0.004767344067709178
meta-llama/Llama-3.1-8B,bias-norm-embedding-other,3 sigma,7451310561,-0.04150390625,0.04150390625,-2.4450846585536797e-06,0.012822161140893833,4866,7.068708419799805,0.000721883843652904,0.0051027864037467285
meta-llama/Llama-3.1-8B,bias-norm-embedding-other,4 sigma,7491100657,-0.055419921875,0.055419921875,-2.8345959843331696e-06,0.013236983254272331,6485,7.089836120605469,0.0007627170998603106,0.005407539244393078
meta-llama/Llama-3.1-8B,bias-norm-embedding,0 sigma,525602816,-0.2119140625,2.953125,0.00023685877731359376,0.015499365439594188,90779,6.7737345695495605,0.0012179899495095015,0.008250340626356434
meta-llama/Llama-3.1-8B,bias-norm-embedding,1 sigma,449967043,-0.0152587890625,0.015625,0.000101835007873576,0.007652415755092397,1008,6.618005275726318,0.0003701856476254761,0.002449890568983565
meta-llama/Llama-3.1-8B,bias-norm-embedding,2 sigma,523042005,-0.03076171875,0.0311279296875,2.7931450136531325e-05,0.010387826769230401,1788,6.7547502517700195,0.0006785262958146632,0.004583275667486675
meta-llama/Llama-3.1-8B,bias-norm-embedding,3 sigma,525320228,-0.046142578125,0.046630859375,2.2870025143015938e-05,0.010611062601343195,2678,6.772805213928223,0.0008523402502760291,0.005772734491110376
meta-llama/Llama-3.1-8B,bias-norm-embedding,4 sigma,525339804,-0.0615234375,0.06201171875,2.2938180059480492e-05,0.010615221128091845,3566,6.773127555847168,0.0009452356025576591,0.006402201306451083
meta-llama/Llama-3.1-8B,bias-norm-other,0 sigma,6979588096,-0.921875,2.953125,1.1172060346354137e-05,0.014106192322052529,217438,7.090594291687012,0.0009153959690593183,0.006490701432845303
